182  294  166  186  301  174     134  246  214  142  253  224
182  294  166  186  301  174     130  242  210  138  249  220
182  294  166  186  301  174     132  244  212  140  251  218
182  294  166  186  301  174     136  248  216  144  255  222
182  294  166  186  301  174     277  197  261  285  205  269
182  294  166  186  301  174     273  193  257  281  201  265
182  294  166  186  301  174     274  194  258  282  202  266
182  294  166  186  301  174     278  198  262  286  206  270
182  294  166  186  301  174     231  151  311  235  159  317
182  294  166  186  301  174     230  150  310  234  158  320
182  294  166  186  301  174     229  149  309  233  157  319
182  294  166  186  301  174     232  152  312  236  160  318
